ID,CODSEC,DIR,ZHFG,TIPORESLZHF,ESTRATO,LOCALIDAD,UPZ,LONG,LAT,CONDJUR,AT,VALTER,VALTOTER,USO,SISTCON,PUNTAJE,EDAD,AC,AREATC,VALORC,VRTOTAL,AVALUO,INTEGRAL,ACTECOIM,TIPOAEI
77,002308121100000000,KR 31 43 10 S,6232215153113,3,3,18,,,,2,524.00,190000,99560000,080,A,35,51,18.00,378.80,220000,3960000,183520000,484477,1,3
78,002308212200000000,KR 29 44 31 SUR,6232215153113,3,3,18,,,,2,193.50,190000,36765000,022,A,34,44,193.50,193.50,160000,30960000,67725000,350000,1,3
79,002310132900000000,KR 26 A  32 A 35 SUR,6232215152113,3,3,18,,,,2,144.00,200000,28800000,025,A,58,70,144.00,144.00,240000,34560000,63360000,440000,1,3
80,002310141300000000,KR 26 A  32 A 36 SUR,6232215152113,3,3,18,,,,2,145.60,200000,29120000,001,A,54,1,132.20,278.60,310000,77606000,106726000,383080,1,3
80,002310141300000000,KR 26 A  32 A 36 SUR,6232215152113,3,3,18,,,,2,145.60,200000,29120000,025,A,51,1,73.60,278.60,280000,20608000,104368000,374616,1,3
80,002310141300000000,KR 26 A  32 A 36 SUR,6232215152113,3,3,18,,,,2,145.60,200000,29120000,022,A,52,1,72.80,278.60,220000,16016000,104368000,374616,1,3
81,002310212900000000,CL 35 SUR 30 71,6232215152121,3,3,18,,,,2,480.00,250000,120000000,025,A,57,53,480.00,480.00,250000,120000000,240000000,500000,2,1
83,002403071700000000,DG 51S 55 43,6010215153121,2,2,4,,,,2,161.00,280000,45080000,025,A,36,46,98.00,268.70,180000,17640000,90794000,337901,2,1
83,002403071700000000,DG 51S 55 43,6010215153121,2,2,4,,,,2,161.00,280000,45080000,001,A,31,46,67.20,268.70,170000,11424000,90794000,337901,2,1
83,002403071700000000,DG 51S 55 43,6010215153121,2,2,4,,,,2,161.00,280000,45080000,001,A,12,46,40.50,268.70,100000,4050000,90794000,337901,2,1
83,002403071700000000,DG 51S 55 43,6010215153121,2,2,4,,,,2,161.00,280000,45080000,004,A,32,46,63.00,268.70,200000,12600000,90794000,337901,2,1
84,002403110900000000,DG 52 S 54B 62,6010215153121,2,2,4,,,,2,133.00,280000,37240000,033,A,29,32,116.00,150.00,160000,18560000,60560000,403733,2,1
84,002403110900000000,DG 52 S 54B 62,6010215153121,2,2,4,,,,2,133.00,280000,37240000,001,A,16,32,17.00,150.00,100000,1700000,60560000,403733,2,1
84,002403110900000000,DG 52 S 54B 62,6010215153121,2,2,4,,,,2,133.00,280000,37240000,004,A,31,32,17.00,150.00,180000,3060000,60560000,403733,2,1
85,002403201400000000,DG 51 S 55A 45,6010215153121,2,2,4,,,,2,161.00,280000,45080000,033,A,36,40,96.50,199.70,170000,16405000,77437000,387767,2,1
85,002403201400000000,DG 51 S 55A 45,6010215153121,2,2,4,,,,2,161.00,280000,45080000,004,A,28,40,23.60,199.70,170000,4012000,77437000,387767,2,1
85,002403201400000000,DG 51 S 55A 45,6010215153121,2,3,4,,,,2,161.00,280000,45080000,022,A,28,40,79.60,199.70,150000,11940000,77437000,387767,2,1
87,002408340700000000,CL 51A SUR 35 50,6030215153113,2,2,4,,,,2,256.00,220000,56320000,033,A,28,36,86.25,610.86,180000,15525000,148531800,243152,1,3
87,002408340700000000,CL 51A SUR 35 50,6030215153113,2,2,4,,,,2,256.00,220000,56320000,001,A,30,36,320.93,610.86,180000,57767400,148531800,243152,1,3
87,002408340700000000,CL 51A SUR 35 50,6030215153113,2,2,4,,,,2,256.00,220000,56320000,001,A,10,11,177.43,610.86,80000,14194400,148531800,243152,1,3
87,002408340700000000,CL 51A SUR 35 50,6030215153113,2,2,4,,,,2,256.00,220000,56320000,022,A,31,36,26.25,610.86,180000,4725000,148531800,243152,1,3
88,002412360300000000,KR 45C 59C 66 SUR,6232215152122,2,2,19,,,,2,105.40,250000,26350000,033,A,21,20,105.40,105.40,130000,12648000,38998000,370000,2,2
89,002414224100000000,CL 64 SUR 73 13,6232215152113,3,2,19,,,,2,250.00,170000,42500000,001,A,30,24,280.50,402.50,170000,47685000,109955000,273180,1,3
